transaction_id,customer_id,transaction_type,amount,transaction_date,location,device_id,status,is_fraud
7a5acf92-1f53-4caf-b888-5b219165f161,8a7e8c68-fde0-4c46-a6f4-6341e7ca5c9d,transfer,325128.15,2020-12-10 02:28:35,Marioberg,25cfa3fa-15c8-4fce-8a78-ad270b412316,success,True
f0db8d0c-3e88-4b14-94b0-96ee2d81868f,64f8dee0-28d8-44ec-8215-faa21b8ee0f9,refund,836346.46,2024-07-11 05:36:30,South Dorothybury,25cfa3fa-15c8-4fce-8a78-ad270b412316,failed,True
1c5fd518-2d40-43d8-939b-28acc7bb8c24,36af7c04-d053-48f4-822b-142237429833,purchase,898741.11,2023-09-26 04:47:57,Travistown,25cfa3fa-15c8-4fce-8a78-ad270b412316,failed,False
f3f4951a-9cff-47ad-a081-d8ca3ed4c9e7,d3ec1388-1495-405e-bcd9-9792021743ac,refund,263651.41,2022-04-23 05:30:35,Sandrafort,25cfa3fa-15c8-4fce-8a78-ad270b412316,pending,True
6a203dc1-f3c2-472a-88e7-2027999de4d4,ffa7796c-17ba-4742-bc7a-f5601b959221,receiving,142562.19,2021-01-19 06:00:39,Kimberlyport,25cfa3fa-15c8-4fce-8a78-ad270b412316,success,False
335e531b-abbb-4a20-86ca-d93ad9dcfb4e,429a92f8-8bc1-48e8-907b-25447e5b5a67,purchase,452198.25,2022-03-16 16:11:55,West Crystal,25cfa3fa-15c8-4fce-8a78-ad270b412316,success,True
179b4ae3-285f-4b85-aa62-01cbb03d5619,44d21671-eacb-4361-8282-93deaad4adfd,purchase,933448.27,2023-12-08 03:35:14,South Scottberg,25cfa3fa-15c8-4fce-8a78-ad270b412316,pending,True
329385db-a0e8-4414-bc4e-9a00a1905c72,58c76837-e4c9-42e6-90d7-d753f370a8de,receiving,633961.99,2023-09-12 02:04:35,Michaelburgh,25cfa3fa-15c8-4fce-8a78-ad270b412316,pending,True
6fba6eba-2b88-46dc-88fe-75e28b82ff42,cb62cf39-0480-4ccb-9c0d-1f6f39e8b3cd,sending,935333.08,2021-03-10 07:06:36,New Justin,25cfa3fa-15c8-4fce-8a78-ad270b412316,pending,True
38642674-bc16-46d4-b699-c647df233b9e,12fb9046-ed67-48a5-9eaa-3c9fcb9bca5f,transfer,635839.4,2022-11-27 12:19:38,New Danielport,25cfa3fa-15c8-4fce-8a78-ad270b412316,failed,True
66e88200-6bd2-4925-aa1b-f62afef962ff,25e71f88-c1da-4ea3-b706-f92c8c4af7ab,refund,814431.08,2022-06-14 10:34:14,New Luis,25cfa3fa-15c8-4fce-8a78-ad270b412316,success,True
